,DC_Power_kW,AC_Power_kW,Daily_Yield_kW,Ambient_Temperature_C,Module_Temperature_C,Irradition
2020-05-15 00:00:00,0.0,0.0,2222.724458874459,27.00476370000001,25.0607889,0.0
2020-05-15 00:15:00,0.0,0.0,1290.9545454545455,26.880811433333328,24.421868833333328,0.0
2020-05-15 00:30:00,0.0,0.0,1290.9545454545455,26.682055344827596,24.427290310344816,0.0
2020-05-15 00:45:00,0.0,0.0,1290.9545454545455,26.50058890000001,24.420677599999998,0.0
2020-05-15 01:00:00,0.0,0.0,1205.2727272727273,26.596147999999992,25.088210413793107,0.0
2020-05-15 01:15:00,0.0,0.0,862.5454545454545,26.512740033333333,25.317969666666666,0.0
2020-05-15 01:30:00,0.0,0.0,862.5454545454545,26.49433896666666,25.217192533333336,0.0
2020-05-15 01:45:00,0.0,0.0,862.5454545454545,26.420410206896555,25.065062310344832,0.0
2020-05-15 02:00:00,0.0,0.0,862.5454545454545,26.40194613333334,24.691469366666652,0.0
2020-05-15 02:15:00,0.0,0.0,862.5454545454545,26.226078206896556,24.559480793103447,0.0
2020-05-15 02:30:00,0.0,0.0,862.5454545454545,26.260399200000005,24.482406633333333,0.0
2020-05-15 02:45:00,0.0,0.0,862.5454545454545,26.297826099999998,24.4886982,0.0
2020-05-15 03:00:00,0.0,0.0,862.5454545454545,26.32824910344827,24.506289620689657,0.0
2020-05-15 03:15:00,0.0,0.0,862.5454545454545,26.158709733333332,24.59519743333333,0.0
2020-05-15 03:30:00,0.0,0.0,862.5454545454545,26.078499333333333,24.80131436666666,0.0
2020-05-15 03:45:00,0.0,0.0,845.8939393939395,26.001303965517238,24.607817448275863,0.0
2020-05-15 04:00:00,0.0,0.0,612.7727272727273,25.697210599999995,24.626178999999993,0.0
2020-05-15 04:15:00,0.0,0.0,612.7727272727273,25.627702413793102,24.773145068965515,0.0
2020-05-15 04:30:00,0.0,0.0,612.7727272727273,25.482045785714277,24.796690750000003,0.0
2020-05-15 04:45:00,0.0,0.0,612.7727272727273,25.23093168965517,24.436904275862062,0.0
2020-05-15 05:00:00,0.0,0.0,612.7727272727273,25.117598599999997,24.10457963333334,0.0
2020-05-15 05:15:00,0.0,0.0,612.7727272727273,25.0918621,23.897231999999995,0.0
2020-05-15 05:30:00,0.0,0.0,42.83549783549783,24.916967827586213,23.83947131034483,0.0
2020-05-15 05:45:00,0.0,0.0,0.0,24.7412738,23.7866618,0.002838054505
2020-05-15 06:00:00,15.090606060606056,14.565151515151518,1.1787878787878787,24.74278656666667,24.07722983333333,0.012961978146666601
2020-05-15 06:15:00,26.689978354978347,25.771709956709955,6.438311688311688,24.763910896551714,24.356189448275867,0.02103766872413791
2020-05-15 06:30:00,58.372987012987004,56.525281385281374,15.687662337662339,24.786322900000002,24.548886100000004,0.04243539900000001
2020-05-15 06:45:00,156.85896103896104,153.34811688311686,39.71645021645021,25.04824510344827,25.746662000000004,0.10349587834482761
2020-05-15 07:00:00,306.0569696969697,300.6536363636364,96.98787878787878,25.6732025,28.67470703333333,0.19945048366666657
2020-05-15 07:15:00,380.89272727272726,374.2930303030302,182.50909090909093,26.076818,30.72550493103449,0.31766502586206896
2020-05-15 07:30:00,459.51510822510824,450.9088744588744,285.7805194805195,26.424239066666665,32.20680356666665,0.3829133633333333
2020-05-15 07:45:00,547.8287012987014,536.9693506493506,409.51666666666665,27.120287517241387,34.591562206896555,0.44828666310344834
2020-05-15 08:00:00,562.7075108225108,551.4913852813852,542.3965367965368,27.67897026666666,35.70585636666667,0.45502757533333305
2020-05-15 08:15:00,639.6036363636363,626.5703030303031,687.0848484848485,27.95349233333333,36.78689773333335,0.5093152629999999
2020-05-15 08:30:00,729.6824242424241,714.4742424242424,856.0969696969696,28.52621465517242,38.61774948275862,0.5709116793103449
2020-05-15 08:45:00,808.0512987012986,790.8868831168832,1048.0898268398266,29.31902146666665,40.73803590000001,0.6253999813333331
2020-05-15 09:00:00,849.8787878787879,831.6360606060607,1249.0484848484848,29.572043620689655,41.47150403448278,0.6542055951724136
2020-05-15 09:15:00,917.9660822510822,897.9373593073592,1467.251948051948,30.09140723333334,43.46537360000001,0.7024373413333332
2020-05-15 09:30:00,908.9721212121211,888.7621645021645,1692.561038961039,30.638658379310332,44.145196413793094,0.7566826427586207
2020-05-15 09:45:00,866.3256493506492,846.7150865800867,1898.1272727272722,31.375120033333335,45.719523999999986,0.7997459939999999
2020-05-15 10:00:00,844.123658008658,824.6731601731603,2115.396753246753,31.89209383333333,46.131173900000014,0.8280959380000001
2020-05-15 10:15:00,793.8751515151515,774.6142424242425,2315.2727272727275,32.437479862068955,47.14350827586209,0.8748338506896549
2020-05-15 10:30:00,821.5454545454545,801.0221212121211,2515.642424242424,33.07413526666665,48.68028979999999,0.9080560733333333
2020-05-15 10:45:00,849.2807575757575,828.0562770562773,2717.611904761905,33.19247010344828,50.249560172413794,0.9433527082758624
2020-05-15 11:00:00,817.1743939393939,796.7444155844155,2919.6859307359305,33.4620566666667,51.610991333333324,0.9579001053333333
2020-05-15 11:15:00,807.152510822511,786.9898917748919,3116.558225108225,34.25179517241381,54.89430189655173,0.9704477541379304
2020-05-15 11:30:00,818.6209090909091,798.1654545454547,3310.557575757576,34.65145466666668,56.08395293333335,0.9879320090000003
2020-05-15 11:45:00,775.4409090909089,756.0533333333333,3515.066666666666,35.15152596551725,55.59379527586205,0.9533445175862066
2020-05-15 12:00:00,771.3205411255411,752.0361255411256,3698.4872294372294,35.16610503333333,57.48824050000001,0.9469201943333334
2020-05-15 12:15:00,818.5784415584415,798.1120346320348,3891.3008658008653,36.37757096551726,57.58858162068966,0.9771876234482761
2020-05-15 12:30:00,802.8022077922077,782.7311904761905,4088.4690476190463,35.966357566666645,58.888152799999986,0.9562375366666666
2020-05-15 12:45:00,799.3784848484847,779.411818181818,4286.533333333333,35.9929465,57.729486033333345,0.9790904166666672
2020-05-15 13:00:00,810.8242424242425,790.7787878787877,4475.1,36.458581448275844,60.38937679310342,0.9264382120689657
2020-05-15 13:15:00,807.6702597402599,787.8101082251083,4668.03593073593,36.93956406666666,56.859504033333344,0.9042468140000001
2020-05-15 13:30:00,849.3676190476191,828.4916883116883,4881.37987012987,36.89079344827587,57.148673275862095,0.8954739062068964
2020-05-15 13:45:00,806.6508441558442,786.8435930735931,5080.91341991342,36.61437806666666,52.98061120000002,0.8660270623333335
2020-05-15 14:00:00,829.2242424242424,809.3681818181817,5280.79393939394,36.8427660689655,54.81000489655171,0.8379443868965519
2020-05-15 14:15:00,853.3781818181818,833.0463636363637,5487.836363636364,37.352829199999995,53.53894659999999,0.8261285799999996
2020-05-15 14:30:00,773.6151731601731,756.456406926407,5695.524025974025,37.26846586666667,51.3589315,0.6810660216666664
2020-05-15 14:45:00,830.5656493506492,812.1578354978354,5879.72316017316,37.21659834482758,49.36587620689656,0.68664654
2020-05-15 15:00:00,912.6236147186148,892.665476190476,6093.120346320345,37.11558026666667,50.19004316666665,0.6538071269999999
